article_id,language,content
56,Marathi,"56. राष्ट्रपती पदाचा कार्यकाळ
(१) राष्ट्रपती आपल्या पदाचा कार्यभार स्वीकारतील त्या तारखेपासून पाच वर्षांच्या कालावधीसाठी पद धारण करील: परंतु
(अ) राष्ट्रपती, उपराष्ट्रपतींना उद्देशून त्यांच्या हाताखाली लिहून, आपल्या पदाचा राजीनामा देऊ शकतात;
(b) राष्ट्रपतींना, घटनेचे उल्लंघन केल्याबद्दल, कलम 61 मध्ये प्रदान केलेल्या पद्धतीने महाभियोगाद्वारे पदावरून काढून टाकले जाऊ शकते:
(c) राष्ट्रपती, त्याचा कार्यकाळ संपला तरीही, त्याचा उत्तराधिकारी त्याच्या पदावर प्रवेश करेपर्यंत पद धारण करील.
(२) खंड (१) च्या तरतुदीच्या खंड (अ) अंतर्गत उपराष्ट्रपतींना उद्देशून दिलेला कोणताही राजीनामा त्यांच्याद्वारे लोकसभेच्या अध्यक्षांना त्वरित कळविला जाईल."
57,English,"57. Eligibility for re election A person who holds, or who has held, office as President shall, subject to the other provisions of this Constitution, be eligible for re election to that office"
57,Hindi,"57. पुनः चुनाव के लिए पात्रता एक व्यक्ति जो राष्ट्रपति के रूप में पद धारण करता है, या जिसने पद धारण किया है, इस संविधान के अन्य प्रावधानों के अधीन, उस पद पर पुनः चुनाव के लिए पात्र होगा।"
57,Tamil,"57. மறுதேர்தலுக்கான தகுதி இந்த அரசியலமைப்பின் பிற விதிகளுக்கு உட்பட்டு, ஜனாதிபதியாக பதவியில் இருக்கும் அல்லது பதவி வகித்தவர், அந்த பதவிக்கு மீண்டும் தேர்ந்தெடுக்கப்படுவதற்கு தகுதியுடையவர்."
57,Marathi,"57. पुनर्निवडणुकीसाठी पात्रता या राज्यघटनेच्या इतर तरतुदींच्या अधीन राहून राष्ट्रपती पद धारण करणारी किंवा धारण केलेली व्यक्ती, त्या पदासाठी पुन्हा निवडणूक घेण्यास पात्र असेल."
58,English,"58. Qualifications for election as President
(1) No person shall be eligible for election as President unless he
(a) is a citizen of India,
(b) has completed the age of thirty five years, and
(c) is qualified for election as a member of the House of the People
(2) A person shall not be eligible for election as President if he holds any office of profit under the or the Government of any State or under any local or other authority subject to the control of any of the said Governments Explanation For the purposes of this article, a person shall not be deemed to hold any office of profit by reason only that he is the President or Vice President of the Union or the Governor of any State or is a Minister either for the Union or for any State"
58,Hindi,"58. राष्ट्रपति के रूप में चुनाव के लिए योग्यताएँ
(1) कोई भी व्यक्ति राष्ट्रपति के रूप में चुनाव के लिए पात्र नहीं होगा जब तक कि वह
(ए) भारत का नागरिक है,
(बी) पैंतीस वर्ष की आयु पूरी कर चुका है, और
(सी) लोक सभा के सदस्य के रूप में चुनाव के लिए योग्य है
(2) कोई व्यक्ति राष्ट्रपति के रूप में चुनाव के लिए पात्र नहीं होगा यदि वह उक्त सरकारों में से किसी के नियंत्रण के अधीन किसी राज्य की सरकार या किसी स्थानीय या अन्य प्राधिकारी के अधीन कोई लाभ का पद धारण करता है। इस अनुच्छेद के प्रयोजनों के लिए, किसी व्यक्ति को केवल इस कारण से लाभ का कोई पद धारण करने वाला नहीं माना जाएगा कि वह संघ का राष्ट्रपति या उपराष्ट्रपति या किसी राज्य का राज्यपाल है या संघ या किसी राज्य का मंत्री है।"
58,Tamil,"58. ஜனாதிபதியாக தேர்ந்தெடுக்கப்படுவதற்கான தகுதிகள்
(1) அவர் இல்லாவிட்டால், எந்தவொரு நபரும் ஜனாதிபதியாகத் தேர்ந்தெடுக்கப்படுவதற்குத் தகுதியற்றவர்
(அ) இந்தியாவின் குடிமகன்,
(ஆ) முப்பத்தைந்து வயதை நிறைவு செய்துள்ளார், மற்றும்
(c) மக்கள் மன்றத்தின் உறுப்பினராகத் தேர்ந்தெடுக்கப்படுவதற்குத் தகுதி பெற்றவர்
(2) ஒருவர் எந்தவொரு மாநிலத்தின் அல்லது அரசாங்கத்தின் கீழும் அல்லது எந்தவொரு உள்ளூர் அல்லது பிற அதிகாரத்தின் கீழும் ஏதேனும் இலாபகரமான பதவியை வகித்தால், அவர் ஜனாதிபதியாகத் தேர்ந்தெடுக்கத் தகுதியற்றவராக இருக்கமாட்டார்."
58,Marathi,"58. अध्यक्ष म्हणून निवडीसाठी पात्रता
(१) कोणतीही व्यक्ती तोपर्यंत राष्ट्रपती म्हणून निवडून येण्यास पात्र असणार नाही
(a) भारताचा नागरिक आहे,
(b) वयाची पस्तीस वर्षे पूर्ण केली आहेत, आणि
(c) हाऊस ऑफ द पीपलचा सदस्य म्हणून निवडणुकीसाठी पात्र आहे
(२) जर एखाद्या व्यक्तीने कोणत्याही राज्याच्या किंवा सरकारच्या अंतर्गत किंवा कोणत्याही स्थानिक किंवा अन्य प्राधिकरणाच्या अंतर्गत फायद्याचे कोणतेही पद धारण केले असेल तर ती राष्ट्रपती म्हणून निवडून येण्यास पात्र ठरणार नाही. स्पष्टीकरण या लेखाच्या उद्देशाने, एखादी व्यक्ती केवळ या कारणास्तव लाभाचे कोणतेही पद धारण करणार नाही कारण ती संघाचा अध्यक्ष किंवा उपाध्यक्ष आहे किंवा कोणत्याही राज्याचा राज्याचा किंवा राज्याचा मंत्री आहे."
59,English,"59. Conditions of Presidents office
(1) The President shall not be a member of either House of Parliament or of a House of the Legislature of any State, and if a member of either House of Parliament or of a House of the Legislature of any State be elected President, he shall be deemed to have vacated his seat in that House on the date on which he enters upon his office as President
(2) The President shall not hold any other office of profit
(3) The President shall be entitled without payment of rent to the use of his official residences and shall be also entitled to such emoluments, allowances and privileges as may be determined by Parliament by law and, until provision in that behalf is so made, such emoluments, allowances and privileges as are specified in the Second Schedule
(4) The emoluments and allowances of the President shall ot be diminished during his term of office"
59,Hindi,"59. राष्ट्रपति कार्यालय की शर्तें
(1) राष्ट्रपति संसद के किसी भी सदन या किसी राज्य के विधानमंडल के किसी सदन का सदस्य नहीं होगा, और यदि संसद के किसी भी सदन या किसी राज्य के विधानमंडल के किसी सदन का सदस्य राष्ट्रपति चुना जाता है, तो यह माना जाएगा कि उसने राष्ट्रपति के रूप में अपना पद ग्रहण करने की तारीख को उस सदन में अपनी सीट खाली कर दी है।
(2) राष्ट्रपति लाभ का कोई अन्य पद धारण नहीं करेगा
(3) राष्ट्रपति अपने आधिकारिक आवासों के उपयोग के लिए किराए का भुगतान किए बिना हकदार होंगे और ऐसी परिलब्धियों, भत्तों और विशेषाधिकारों के भी हकदार होंगे जो संसद द्वारा कानून द्वारा निर्धारित किए जा सकते हैं और, जब तक कि इस संबंध में प्रावधान नहीं किया जाता है, ऐसी परिलब्धियां, भत्ते और विशेषाधिकार जो दूसरी अनुसूची में निर्दिष्ट हैं।
(4) राष्ट्रपति की परिलब्धियाँ और भत्ते उनके कार्यकाल के दौरान कम नहीं किये जायेंगे"
59,Tamil,"59. ஜனாதிபதி அலுவலகத்தின் நிபந்தனைகள்
(1) The President shall not be a member of either House of Parliament or of a House of the Legislature of any State, and if a member of either House of Parliament or of a House of the Legislature of any State be elected President, he shall be deemed to have vacated his seat in that House on the date on which he enters upon his office as President
(2) குடியரசுத் தலைவர் வேறு எந்த லாபப் பதவியையும் வகிக்கக் கூடாது
(3) குடியரசுத் தலைவர் தனது உத்தியோகபூர்வ வாசஸ்தலங்களைப் பயன்படுத்துவதற்கு வாடகை செலுத்தாமல் உரிமையுடையவராக இருப்பார் மேலும், சட்டத்தால் பாராளுமன்றத்தால் தீர்மானிக்கப்படும் ஊதியங்கள், கொடுப்பனவுகள் மற்றும் சிறப்புரிமைகள் மற்றும் அதற்கான ஏற்பாடு செய்யப்படும் வரை, இரண்டாம் அட்டவணையில் குறிப்பிடப்பட்டுள்ள ஊதியங்கள், கொடுப்பனவுகள் மற்றும் சலுகைகள் ஆகியவற்றிற்கும் உரிமை உண்டு.
(4) ஜனாதிபதியின் ஊதியங்கள் மற்றும் படிகள் அவரது பதவிக் காலத்தில் குறைக்கப்படும்"
59,Marathi,"59. अध्यक्षांच्या कार्यालयाच्या अटी
(१) राष्ट्रपती संसदेच्या कोणत्याही सभागृहाचा किंवा कोणत्याही राज्याच्या विधानमंडळाच्या सभागृहाचा सदस्य नसावा आणि जर संसदेच्या किंवा कोणत्याही राज्याच्या विधानमंडळाच्या सभागृहाचा सदस्य राष्ट्रपती म्हणून निवडला गेला असेल, तर त्याने ज्या तारखेला राष्ट्रपती म्हणून आपल्या पदावर प्रवेश केला त्या तारखेला त्याने त्या सभागृहातील आपली जागा रिकामी केली आहे असे मानले जाईल.
(२) राष्ट्रपती इतर कोणतेही लाभाचे पद धारण करणार नाहीत
(३) राष्ट्रपती त्याच्या अधिकृत निवासस्थानांच्या वापरासाठी भाडे न भरता पात्र असतील आणि संसदेद्वारे कायद्याद्वारे निर्धारित केल्या जाणाऱ्या अशा भत्ते, भत्ते आणि विशेषाधिकारांनाही ते पात्र असतील आणि त्या संदर्भात तरतूद करेपर्यंत, दुसऱ्या अनुसूचीमध्ये नमूद केल्यानुसार असे मानधन, भत्ते आणि विशेषाधिकार.
(४) राष्ट्रपतींचे मानधन आणि भत्ते त्यांच्या कार्यकाळात कमी केले जातील"
60,English,"60. Oath or affirmation by the President Every President and every person acting as President or discharging the functions of the President shall, before entering upon his office, make and subscribe in the presence of the Chief Justice of India or, in his absence, the senior most Judge of the Supreme Court available, an oath or affirmation in the following form, that is to say swear in the name of God I, A B, do that I olemnly affirm will faithfully execute the office of President (or discharge the functions of thePresident) of India and will do the best of my ability preserve, protect and defend the Constitution and the law and that I will devote myself to the service and well being of the people of India"
60,Hindi,"60. राष्ट्रपति द्वारा शपथ या प्रतिज्ञान प्रत्येक राष्ट्रपति और राष्ट्रपति के रूप में कार्य करने वाला या राष्ट्रपति के कार्यों का निर्वहन करने वाला प्रत्येक व्यक्ति, अपने कार्यालय में प्रवेश करने से पहले, भारत के मुख्य न्यायाधीश की उपस्थिति में या, उनकी अनुपस्थिति में, उच्चतम न्यायालय के उपलब्ध वरिष्ठतम न्यायाधीश की उपस्थिति में, निम्नलिखित रूप में एक शपथ या प्रतिज्ञान करेगा, अर्थात ईश्वर के नाम पर शपथ लेगा। भारत के राष्ट्रपति) और मैं अपनी पूरी क्षमता से संविधान और कानून की रक्षा, सुरक्षा और बचाव करूंगा और मैं खुद को भारत के लोगों की सेवा और भलाई के लिए समर्पित करूंगा।"
60,Tamil,"60. Oath or affirmation by the President Every President and every person acting as President or discharging the functions of the President shall, before entering upon his office, make and subscribe in the presence of the Chief Justice of India or, in his absence, the senior most Judge of the Supreme Court available, an oath or affirmation in the following form, that is to say swear in the name of God I, A B, do that I olemnly இந்திய ஜனாதிபதியின் பதவியை உண்மையாக நிறைவேற்றுவேன் (அல்லது ஜனாதிபதியின் செயல்பாடுகளை நிறைவேற்றுவேன்) மற்றும் அரசியலமைப்பு மற்றும் சட்டத்தை பாதுகாக்கவும், பாதுகாக்கவும் மற்றும் பாதுகாக்கவும், இந்திய மக்களின் சேவை மற்றும் நல்வாழ்வுக்காக நான் என்னை அர்ப்பணிப்பேன் என்று உறுதியளிக்கிறேன்."
60,Marathi,"60. राष्ट्रपतींची शपथ किंवा प्रतिज्ञा प्रत्येक राष्ट्रपती आणि राष्ट्रपती म्हणून काम करणाऱ्या किंवा राष्ट्रपतीची कार्ये पार पाडणाऱ्या प्रत्येक व्यक्तीने, त्यांच्या पदावर प्रवेश करण्यापूर्वी, भारताच्या सरन्यायाधीशांच्या उपस्थितीत किंवा त्यांच्या अनुपस्थितीत, उपलब्ध सर्वोच्च न्यायालयातील सर्वात वरिष्ठ न्यायाधीश यांच्या उपस्थितीत, शपथ किंवा प्रतिज्ञापत्र खालील स्वरूपात, म्हणजे मी देवाच्या नावाने शपथ घेईन, असे म्हणायचे आहे. भारताचे राष्ट्रपती पद (किंवा राष्ट्रपतींचे कार्य पार पाडणे) निष्ठेने पार पाडीन आणि संविधान आणि कायद्याचे जतन, संरक्षण आणि रक्षण करण्यासाठी माझ्या क्षमतेनुसार सर्वोत्तम प्रयत्न करीन आणि मी भारतातील लोकांच्या सेवेसाठी आणि कल्याणासाठी स्वत: ला समर्पित करीन."
61,English,"61. Procedure for impeachment of the President
(1) When a President is to be impeached for violation of the Constitution, the charge shall be preferred by either House of Parliament
(2) No such charge shall be preferred unless
(a) the proposal to prefer such charge is contained in a resolution which has been moved after at least fourteen days notice in writing signed by not less than one fourth of the total number of members of the House has been given of their intention to move the resolution, and
(b) such resolution has been passed by a majority of not less than two thirds of the total membership of the House
(3) When a charge has been so preferred by either House of Parliament, the other House shall investigate the charge or cause the charge to be investigated and the President shall have the right to appear and to be represented as such investigation
(4) If as a result of the investigation a resolution is passed by a majority of not less than two thirds of the total membership of the House by which the charge was investigated or cause to be investigated, declaring that the charge preferred against the President has been sustained, such resolution shall have the effect of removing the President from his office as from the date on which the resolution is so passed"
61,Hindi,"61. राष्ट्रपति पर महाभियोग चलाने की प्रक्रिया
(1) जब किसी राष्ट्रपति पर संविधान के उल्लंघन के लिए महाभियोग चलाया जाना है, तो आरोप को संसद के किसी भी सदन द्वारा प्राथमिकता दी जाएगी
(2) ऐसा कोई भी आरोप तब तक नहीं लगाया जाएगा जब तक
(ए) इस तरह के आरोप को प्राथमिकता देने का प्रस्ताव एक संकल्प में निहित है जिसे सदन के कुल सदस्यों की संख्या के कम से कम एक चौथाई द्वारा हस्ताक्षरित लिखित रूप में प्रस्ताव को आगे बढ़ाने के अपने इरादे के बारे में दिए जाने के बाद कम से कम चौदह दिनों के नोटिस के बाद पेश किया गया है, और
(बी) ऐसा प्रस्ताव सदन की कुल सदस्यता के कम से कम दो तिहाई बहुमत से पारित किया गया है
(3) जब किसी आरोप को संसद के किसी भी सदन द्वारा प्राथमिकता दी गई है, तो दूसरा सदन उस आरोप की जांच करेगा या आरोप की जांच कराएगा और राष्ट्रपति को ऐसी जांच के लिए उपस्थित होने और प्रतिनिधित्व करने का अधिकार होगा।
(4) यदि जांच के परिणामस्वरूप सदन की कुल सदस्यता के कम से कम दो-तिहाई के बहुमत से एक प्रस्ताव पारित किया जाता है, जिसके द्वारा आरोप की जांच की गई थी या जांच की जा रही थी, यह घोषणा करते हुए कि राष्ट्रपति के खिलाफ लगाया गया आरोप कायम है, ऐसे प्रस्ताव का प्रभाव राष्ट्रपति को उनके पद से उस तारीख से हटाने का होगा जिस दिन प्रस्ताव पारित किया गया था।"
61,Tamil,"61. ஜனாதிபதியை பதவி நீக்கம் செய்வதற்கான நடைமுறை
(1) அரசியலமைப்பை மீறியதற்காக குடியரசுத் தலைவர் பதவி நீக்கம் செய்யப்படும்போது, அந்தக் குற்றச்சாட்டை நாடாளுமன்றத்தின் இரு அவைகளும் விரும்புகின்றன.
(2) No such charge shall be preferred unless
(அ) அத்தகைய குற்றச்சாட்டை விரும்புவதற்கான முன்மொழிவு, குறைந்தபட்சம் பதினான்கு நாட்கள் அறிவிப்பிற்குப் பிறகு, அவையின் மொத்த உறுப்பினர்களின் எண்ணிக்கையில் நான்கில் ஒரு பங்கிற்குக் குறையாமல் எழுத்துப்பூர்வமாக கையொப்பமிடப்பட்ட ஒரு தீர்மானத்தில் உள்ளது
(ஆ) அத்தகைய தீர்மானம் சபையின் மொத்த உறுப்பினர் எண்ணிக்கையில் மூன்றில் இரண்டு பங்கிற்குக் குறையாத பெரும்பான்மையால் நிறைவேற்றப்பட்டுள்ளது
(3) நாடாளுமன்றத்தின் இரு அவைகளாலும் ஒரு குற்றச்சாட்டுக்கு முன்னுரிமை அளிக்கப்பட்டால், மற்ற சபை அந்தக் குற்றச்சாட்டை விசாரிக்க வேண்டும் அல்லது அந்தக் குற்றச்சாட்டை விசாரிக்கச் செய்யும், மேலும் குடியரசுத் தலைவர் ஆஜராகவும் அத்தகைய விசாரணையாக பிரதிநிதித்துவப்படுத்தவும் உரிமை உண்டு.
(4) விசாரணையின் விளைவாக, அந்தக் குற்றச்சாட்டு விசாரிக்கப்பட்ட அல்லது விசாரிக்கப்பட வேண்டிய சபையின் மொத்த உறுப்பினர்களில் மூன்றில் இரண்டு பங்கிற்குக் குறையாத பெரும்பான்மையால் தீர்மானம் நிறைவேற்றப்பட்டால், ஜனாதிபதிக்கு எதிராக விரும்பப்படும் குற்றச்சாட்டு நீடித்ததாக அறிவித்தால், அத்தகைய தீர்மானம் தீர்மானம் நிறைவேற்றப்பட்ட தேதியிலிருந்து ஜனாதிபதியை அவரது பதவியில் இருந்து நீக்கும் விளைவைக் கொண்டிருக்கும்."
61,Marathi,"61. राष्ट्रपतींच्या महाभियोगाची प्रक्रिया
(१) जेव्हा संविधानाच्या उल्लंघनासाठी राष्ट्रपतींवर महाभियोग चालवला जाणार असेल तेव्हा संसदेच्या कोणत्याही सभागृहाने आरोपाला प्राधान्य दिले जाईल.
(२) असे कोणतेही शुल्क घेण्यास प्राधान्य दिले जाणार नाही
(अ) अशा शुल्कास प्राधान्य देण्याचा प्रस्ताव एका ठरावात समाविष्ट आहे जो सभागृहाच्या एकूण सदस्य संख्येच्या एक चतुर्थांश सदस्यांनी स्वाक्षरी केलेल्या किमान चौदा दिवसांच्या नोटीसनंतर हा ठराव हलवण्याचा त्यांचा हेतू दर्शविला गेला आहे, आणि
(b) असा ठराव सभागृहाच्या एकूण सदस्यसंख्येच्या दोन तृतीयांश पेक्षा कमी नसलेल्या बहुमताने मंजूर करण्यात आला आहे
(३) जेव्हा संसदेच्या कोणत्याही सभागृहाने आरोपाला प्राधान्य दिले असेल, तेव्हा इतर सभागृह आरोपाची चौकशी करेल किंवा आरोपाची चौकशी करण्यास लावेल आणि राष्ट्रपतींना अशा चौकशीत उपस्थित राहण्याचा आणि प्रतिनिधित्व करण्याचा अधिकार असेल.
(४) तपासाच्या परिणामी, ज्या सदनाच्या आरोपाची चौकशी करण्यात आली होती किंवा ज्या सदनाची चौकशी करण्यात आली होती, त्या सभागृहाच्या एकूण सदस्यसंख्येच्या दोन तृतीयांश पेक्षा कमी नसलेल्या बहुमताने ठराव मंजूर झाल्यास, राष्ट्रपतींवरील पसंतीचा आरोप टिकून आहे असे घोषित करून, अशा ठरावाचा परिणाम ज्या दिवशी ठराव मंजूर झाला त्या तारखेपासून राष्ट्रपतींना त्यांच्या पदावरून काढून टाकण्याचा परिणाम होईल."
62,English,"62. Time of holding election to fill vacancy in the office of President and the term of office of person elected to fill casual vacancy
(1) An election to fill a vacancy caused by the expiration of the term of office of President shall be completed before the expiration of the term
(2) An election to fill a vacancy in the office of President occurring by reason of his death, resignation or removal, or otherwise shall be held as soon as possible after, and in no case later than six months from, the date of occurrence of the vacancy, and the person elected to fill the vacancy shall, subject to the provisions of Article 56, be entitled to hold office for the full term of five years from the date on which he enters upon his office"
62,Hindi,"62. राष्ट्रपति के पद पर रिक्ति को भरने के लिए चुनाव कराने का समय और आकस्मिक रिक्ति को भरने के लिए निर्वाचित व्यक्ति के पद की अवधि
(1) राष्ट्रपति के पद की समाप्ति के कारण हुई रिक्ति को भरने के लिए चुनाव कार्यकाल की समाप्ति से पहले पूरा किया जाएगा
(2) राष्ट्रपति के कार्यालय में उनकी मृत्यु, त्यागपत्र या निष्कासन या अन्यथा के कारण होने वाली रिक्ति को भरने के लिए चुनाव रिक्ति होने की तारीख के बाद जितनी जल्दी हो सके और किसी भी मामले में छह महीने से अधिक बाद में नहीं किया जाएगा, और रिक्ति को भरने के लिए चुना गया व्यक्ति, अनुच्छेद 56 के प्रावधानों के अधीन, अपने कार्यालय में प्रवेश करने की तारीख से पांच साल की पूरी अवधि के लिए पद धारण करने का हकदार होगा।"
62,Tamil,"62. குடியரசுத் தலைவர் பதவியில் உள்ள காலியிடத்தை நிரப்புவதற்கான தேர்தல் நடைபெறும் நேரம் மற்றும் சாதாரண காலியிடத்தை நிரப்ப தேர்ந்தெடுக்கப்பட்ட நபரின் பதவிக் காலம்
(1) ஜனாதிபதியின் பதவிக்காலம் முடிவடைவதால் ஏற்படும் வெற்றிடத்தை நிரப்புவதற்கான தேர்தல், பதவிக்காலம் முடிவதற்குள் முடிக்கப்படும்
(2) குடியரசுத் தலைவர் பதவியில் அவரது மரணம், ராஜினாமா அல்லது நீக்கம், அல்லது வேறுவிதமாக ஏற்பட்ட வெற்றிடத்தை நிரப்புவதற்கான தேர்தல் முடிந்தவரை விரைவில் நடத்தப்பட வேண்டும், மேலும் எந்த சந்தர்ப்பத்திலும் காலியிடம் ஏற்பட்ட தேதியிலிருந்து ஆறு மாதங்களுக்குப் பிறகு, மற்றும் காலியிடத்தை நிரப்ப தேர்ந்தெடுக்கப்பட்ட நபர், அவர் தனது பதவிக்காலம் 56 இன் விதிகளுக்கு உட்பட்டது."
62,Marathi,"६२. राष्ट्रपती पदावरील रिक्त जागा भरण्यासाठी निवडणूक घेण्याची वेळ आणि आकस्मिक रिक्त जागा भरण्यासाठी निवडलेल्या व्यक्तीचा कार्यकाळ
(१) राष्ट्रपती पदाचा कार्यकाल संपुष्टात आल्याने रिक्त झालेली जागा भरण्यासाठी निवडणूक मुदत संपण्यापूर्वी पूर्ण केली जाईल.
(२) राष्ट्रपतीच्या पदावरील रिक्त जागा भरण्यासाठीची निवडणूक त्याच्या मृत्यूमुळे, राजीनामा दिल्याने किंवा काढून टाकल्यामुळे किंवा अन्यथा शक्य तितक्या लवकर, रिक्त होण्याच्या तारखेपासून सहा महिन्यांच्या नंतर, आणि कोणत्याही परिस्थितीत, रिक्त जागा भरण्यासाठी निवडून येणारी व्यक्ती, कलम 56 च्या तरतुदींच्या अधीन राहून, तो पदाचा कार्यकाळ पूर्ण केल्यापासून पाच वर्षांपर्यंत धारण करेल. त्याच्या कार्यालयावर"
63,English,63. The Vice President of India There shall be a Vice President of India
63,Hindi,63. भारत का उपराष्ट्रपति भारत का एक उपराष्ट्रपति होगा
63,Tamil,63. இந்தியாவின் துணைக் குடியரசுத் தலைவர் இந்தியாவின் துணைக் குடியரசுத் தலைவர் இருப்பார்
63,Marathi,63. भारताचे उपराष्ट्रपती भारताचे उपराष्ट्रपती असतील
64,English,"64. The Vice President to be ex officio Chairman of the council of States The Vice President shall be ex officio chairman of the counsel of States and shall not hold any other office of profit: Provided that during any period when the Vice President acts as President or discharges the functions of the President under Article 65, he shall not perform the duties of the office of chairman of the council of States and shall not be entitled to any salary or allowance payable to the chairman of the council of States under Article 97"
64,Hindi,"64. उपराष्ट्रपति राज्यों की परिषद का पदेन अध्यक्ष होगा। उपराष्ट्रपति राज्यों की परिषद का पदेन अध्यक्ष होगा और लाभ का कोई अन्य पद धारण नहीं करेगा: बशर्ते कि किसी भी अवधि के दौरान जब उपराष्ट्रपति राष्ट्रपति के रूप में कार्य करता है या अनुच्छेद 65 के तहत राष्ट्रपति के कार्यों का निर्वहन करता है, तो वह राज्यों की परिषद के अध्यक्ष के पद के कर्तव्यों का पालन नहीं करेगा और अनुच्छेद 97 के तहत राज्यों की परिषद के अध्यक्ष को देय किसी भी वेतन या भत्ते का हकदार नहीं होगा।"
64,Tamil,"64. The Vice President to be ex officio Chairman of the council of States The Vice President shall be ex officio chairman of the counsel of States and shall not hold any other office of profit: Provided that during any period when the Vice President acts as President or discharges the functions of the President under Article 65, he shall not perform the duties of the office of chairman of the council of States and shall not be entitled to any salary or allowance payable to the பிரிவு 97ன் கீழ் மாநிலங்களவையின் தலைவர்"
64,Marathi,"64. उपराष्ट्रपती राज्यांच्या कौन्सिलचे पदसिद्ध अध्यक्ष असतील उपराष्ट्रपती राज्यांच्या वकिलाचे पदसिद्ध अध्यक्ष असतील आणि ते इतर कोणतेही लाभाचे पद धारण करणार नाहीत: परंतु उपराष्ट्रपती जेव्हा कलम 65 अन्वये राष्ट्रपती म्हणून काम करतात किंवा राष्ट्रपतींची कार्ये पार पाडतात त्या कोणत्याही कालावधीत, तो राज्यांच्या परिषदेच्या पदाची कर्तव्ये पार पाडू शकणार नाही किंवा कोणत्याही राज्यांच्या परिषदेच्या अध्यक्षांना वेतन देण्यास पात्र होणार नाही. अनुच्छेद 97 अंतर्गत राज्यांच्या परिषदेच्या अध्यक्षांना"
65,English,"65. The Vice President to act as President or to discharge his functions during casual vacancies in the office, or during the absence, of President
(1) In the event of the occurrence of any vacancy in the office of the President by reason of his death, resignation or removal, or otherwise, the Vice President shall act as President until the date on which a new President elected in accordance with the provisions of this Chapter to fill such vacancy enters upon his office
(2) When the President is unable to discharge his functions owing to absence, illness or any other cause, the Vice President shall discharge his functions until the date on which the President resumes his duties
(3) The Vice President shall, during, and in respect of, the period while he is so acting as, or discharging the functions of, President, have all the powers and immunities of the President and be entitled to such emoluments, allowances and privileges as may be determined by Parliament by law and, until provision in that behalf is so made, such emoluments, allowances and privileges as are specified in the Second Schedule"
65,Hindi,"65. उपराष्ट्रपति को कार्यालय में आकस्मिक रिक्तियों के दौरान या राष्ट्रपति की अनुपस्थिति के दौरान राष्ट्रपति के रूप में कार्य करना या अपने कार्यों का निर्वहन करना
(1) राष्ट्रपति की मृत्यु, इस्तीफे या निष्कासन या अन्यथा के कारण उनके कार्यालय में कोई रिक्ति होने की स्थिति में, उपराष्ट्रपति उस तारीख तक राष्ट्रपति के रूप में कार्य करेगा, जिस दिन ऐसी रिक्ति को भरने के लिए इस अध्याय के प्रावधानों के अनुसार निर्वाचित नया राष्ट्रपति अपने कार्यालय में प्रवेश करता है।
(2) जब राष्ट्रपति अनुपस्थिति, बीमारी या किसी अन्य कारण से अपने कार्यों का निर्वहन करने में असमर्थ होता है, तो उपराष्ट्रपति उस तारीख तक अपने कार्यों का निर्वहन करेगा जिस दिन राष्ट्रपति अपने कर्तव्यों को फिर से शुरू करता है।
(3) उपराष्ट्रपति, उस अवधि के दौरान और उसके संबंध में, जब वह राष्ट्रपति के रूप में कार्य कर रहा है, या उसके कार्यों का निर्वहन कर रहा है, उसके पास राष्ट्रपति की सभी शक्तियां और प्रतिरक्षाएं होंगी और वह ऐसी परिलब्धियों, भत्तों और विशेषाधिकारों का हकदार होगा जो संसद द्वारा कानून द्वारा निर्धारित किए जा सकते हैं और, जब तक कि इस संबंध में प्रावधान नहीं किया जाता है, तब तक ऐसी परिलब्धियां, भत्ते और विशेषाधिकार होंगे जो दूसरी अनुसूची में निर्दिष्ट हैं।"
